sno,user_id,user_name,book_id,book_name,book_author,request_date,doi,dor
1,REPA0354,Abigail Johnson,UNIA2088,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,2022-09-24,2022-09-24,2022-10-01
2,REPA0371,Liam Lee,UNIE8847,A Secret Friend,Marilyn Sachs,2022-09-24,2022-09-24,2022-10-01
3,REPA0185,Aiden Müller,UNIG9307,Into the Volcano : A Mallory &amp; Morse Novel of Espionage,Forrest Devoe Jr.,2022-09-24,2022-09-25,2022-10-02
4,REPA0310,Emma Silva,UNIE3526,The Official Politically Correct Dictionary and Handbook,Henry Beard,2022-09-24,2022-09-25,2022-10-02
5,REPA0119,Evelyn Singh,UNIM4470,Art Deco,Eva Weber,2022-09-24,2022-09-25,2022-10-02
6,REPA0455,Sophia Smith,UNIW6611,Hagar: A Novel,Lois Henderson,2022-09-25,2022-09-25,2022-10-02
7,REPA0373,Emma Kim,UNIS2230,Marilyn,Peter Brown,2022-09-24,2022-09-25,2022-10-02
8,REPA0511,James Paredes,UNIW3627,IN THE MUMMY'S TOMB: PHANTOM VALLEY #7,Lynn Beach,2022-09-24,2022-09-25,2022-10-02
9,REPA0137,Sebastian Cohen,UNIA1745,Secret History,Donna Tartt,2022-09-24,2022-09-25,2022-10-02
10,REPA0093,Sophia Jensen,UNII2554,Ten Oclock Horses,Laurie Graham,2022-09-24,2022-09-25,2022-10-02
11,REPA0170,Evelyn Lopez,UNIH9858,June Allyson,June Allyson,2022-09-24,2022-09-25,2022-10-02
12,REPA0073,Ava O'Brien,UNIF1748,A Love Worth Waiting For,Jillian Hart,2022-09-25,2022-09-25,2022-10-02
13,REPA0494,Olivia Dubois,UNIU6716,Game Theory: A Nontechnical Introduction,Morton D. Davis,2022-09-26,2022-09-26,2022-10-03
14,REPA0297,Olivia Santos,UNIM2917,The Killing Breed,Mark Graham,2022-09-25,2022-09-26,2022-10-03
15,REPA0064,Mason Johnson,UNIP3779,7 Keys to Comprehension: How to Help Your Kids Read It and Get It!,Susan Zimmermann,2022-09-24,2022-09-26,2022-10-03
16,REPA0215,Elijah Patel,UNIL1338,Executive Privilege,Jay Brandon,2022-09-26,2022-09-26,2022-10-03
17,REPA0569,Jackson Singh,UNIV5066,Sundance,Janet Mills,2022-09-25,2022-09-26,2022-10-03
18,REPA0049,James Nguyen,UNID6110,Americas Longest War United States and Vietnam 1950-1975,George Herring,2022-09-25,2022-09-26,2022-10-03
19,REPA0169,Grace Dubois,UNIN6594,This Pony is Dangerous,Diana Pullein-Thompson,2022-09-24,2022-09-26,2022-10-03
20,REPA0076,Mateo Ali,UNIQ0622,Sweet Revenge,Kate Clemens,2022-09-25,2022-09-26,2022-10-03
21,REPA0367,Isabella Kowalski,UNIA2791,Fat Tuesday (Thomas Black Mysteries),Earl W. Emerson,2022-09-24,2022-09-26,2022-10-03
22,REPA0156,Henry Müller,UNIN1052,Zuleika Dobson (Modern Library (Paperback)),Max Beerbohm,2022-09-26,2022-09-26,2022-10-03
23,REPA0260,Henry Rossi,UNIT6214,The Great American Bus Ride: An Intrepid Woman's Cross-Country Adventure,Irma Kurtz,2022-09-26,2022-09-26,2022-10-03
24,REPA0360,Mia O'Brien,UNIH0176,International riding,Elizabeth Johnson,2022-09-25,2022-09-26,2022-10-03
25,REPA0038,Daniel García,UNIA1731,Leading Corporate Citizens,Sandra Waddock,2022-09-25,2022-09-26,2022-10-03
26,REPA0031,Grace Ali,UNIP6021,The Dark Wind,Tony Hillerman,2022-09-26,2022-09-26,2022-10-03
27,REPA0378,Harper Paredes,UNII2287,The Day the Laughter Stopped,David Yallop,2022-09-24,2022-09-26,2022-10-03
28,REPA0273,Elijah Choi,UNIP8198,Kristin Lavransdatter III: The Cross (Kristin Lavransdatter (Penguin)),Sigrid Undset,2022-09-25,2022-09-26,2022-10-03
29,REPA0177,Ethan Johnson,UNIW6617,Women Who Do Too Much: Stress and the Myth of the Superwoman,Patricia H. Sprinkle,2022-09-25,2022-09-26,2022-10-03
30,REPA0208,Olivia Tanaka,UNIH9512,The Secret Museum,Sheila Greenwald,2022-09-26,2022-09-26,2022-10-03
31,REPA0547,Alexander Haddad,UNIP5808,Statistiek voor historici,J. Thomas Lindblad,2022-09-27,2022-09-27,2022-10-04
32,REPA0423,Ella Nguyen,UNIC8672,Vegas Rich,Fern Michaels,2022-09-25,2022-09-27,2022-10-04
33,REPA0567,Evelyn Silva,UNIE4080,Shadow of the Moon,M. M. Kaye,2022-09-25,2022-09-27,2022-10-04
34,REPA0449,Sebastian O'Brien,UNIP3613,Against the Night,Art Lindsley,2022-09-24,2022-09-27,2022-10-04
35,REPA0058,Lucas Marino,UNIN2350,Finnish for Foreigners Vol. 1 (Cassettes Sold Separately),Maijaâ­Hellikki Aaltio,2022-09-27,2022-09-27,2022-10-04
36,REPA0216,Abigail Ali,UNIV2398,The Iceberg and It's Shadow,Jan Greenberg,2022-09-25,2022-09-27,2022-10-04
37,REPA0264,Amelia Lee,UNIE7749,The Collector Collector: A Novel,Tibor Fischer,2022-09-25,2022-09-27,2022-10-04
38,REPA0365,Aiden Santos,UNID3164,The Price of Salt,Patricia Highsmith,2022-09-27,2022-09-27,2022-10-04
39,REPA0495,Hannah Jensen,UNIL4154,Mystics and Messiahs: Cults and New Religions in American History,Philip Jenkins,2022-09-25,2022-09-27,2022-10-04
40,REPA0198,Zoey Marino,UNIP9060,Du lait aigre-doux,Nuruddin Farah,2022-09-27,2022-09-27,2022-10-04
41,REPA0434,Sebastian Brown,UNIM1378,Little Donkey Learns to Help (Little Animal Adventures),Patricia Jensen,2022-09-26,2022-09-27,2022-10-04
42,REPA0430,Sophia Kowalski,UNIV3244,Dreamland: A Lullaby,Mary Chapin Carpenter,2022-09-24,2022-09-27,2022-10-04
43,REPA0515,Harper Singh,UNID4051,Great Expectations (Oxford World's Classics),Charles Dickens,2022-09-27,2022-09-27,2022-10-04
44,REPA0105,Hannah Singh,UNIQ6539,Essentials of New Testament: Greek,Ray Summers,2022-09-27,2022-09-27,2022-10-04
45,REPA0553,Jackson Jensen,UNII1880,DOS Dias de Setiembre,Caballo Bonald,2022-09-27,2022-09-27,2022-10-04
46,REPA0403,Riley Brown,UNIN1045,LAST AMERICAN HEROES : LAST AMERICAN HEROES,Charles W. Sasser,2022-09-26,2022-09-27,2022-10-04
47,REPA0342,Aiden Sharma,UNIV7640,The uncollected Wodehouse (A Continuum book),P. G Wodehouse,2022-09-26,2022-09-27,2022-10-04
48,REPA0518,Alexander Paredes,UNIJ7083,John Wesley: Founder of the Methodist Church (Heroes of the Faith),Sam Wellman,2022-09-26,2022-09-28,2022-10-05
49,REPA0483,Zoey Paredes,UNIW3007,Underrunners,Margaret Mahy,2022-09-28,2022-09-28,2022-10-05
50,REPA0505,Amelia O'Brien,UNIK2038,A Vindication of the Rights of Woman/the Subjection of Women/2 Books in 1 (Everyman's library),Mary Wollstonecraft,2022-09-26,2022-09-28,2022-10-05
51,REPA0520,Mateo Silva,UNIL8326,The Tap Dance Mystery (Eagle-Eye Ernie),Susan Pearson,2022-09-25,2022-09-28,2022-10-05
52,REPA0205,Jackson Cohen,UNIP8624,Spartina,John Casey,2022-09-28,2022-09-28,2022-10-05
53,REPA0475,Zoey Johnson,UNIM8869,The Well-Informed Patient's Guide to Back Surgery (Dell Surgical Library),Richard Fraser,2022-09-26,2022-09-28,2022-10-05
54,REPA0349,Isabella Kim,UNIE1683,Going Dutch: A Visitors Guide to the Pennsylvania Dutch Country,William N Hoffman,2022-09-28,2022-09-28,2022-10-05
